month,ALL_eksp_total,ALL_afd_total,ALL_afd_dkk,ALL_afd_eur,ALL_afd_usd,ALL_afd_ovr,ALL_uafd_total,EUR_eksp_total,EUR_afd_total,EUR_afd_dkk,EUR_afd_eur,EUR_afd_usd,EUR_afd_ovr,EUR_uafd_total,USD_eksp_total,USD_afd_total,USD_afd_dkk,USD_afd_eur,USD_afd_usd,USD_afd_ovr,USD_uafd_total,USD_hedge_ratio,EUR_hedge_ratio,ALL_hedge_ratio
2024-10-31,3966.36,2009.88,1010.98,943.44,35.66,19.8,1956.49,1824.86,665.36,656.01,0.0,0.00,9.35,1159.5,1597.81,1071.82,308.25,753.13,0.0,10.45,525.99,0.6708056652543168,0.3646087919073244,0.5067316128641879
2024-11-30,4169.97,2063.54,1042.75,955.91,47.43,17.45,2106.43,1897.83,697.93,688.67,0.0,0.00,9.26,1199.9,1721.92,1080.21,308.36,763.65,0.0,8.19,641.71,0.6273287957628694,0.3677515899738122,0.4948572771506749
2024-12-31,4126.08,2082.67,1057.16,961.86,48.1,15.54,2043.41,1870.0,723.34,714.97,0.0,..,..,1146.66,1707.68,1069.59,297.78,763.85,0.0,7.96,638.09,0.6263410006558605,0.38681283422459894,0.5047575422677214
2025-01-31,4153.0,2080.47,1070.89,951.11,41.03,17.43,2072.53,1866.15,725.72,717.53,0.0,0.00,8.19,1140.42,1729.48,1067.98,307.5,751.24,0.0,9.24,661.49,0.617515091241298,0.3888862095758647,0.500955935468336
2025-02-28,4158.09,2062.57,1054.74,943.13,41.11,23.59,2095.52,1883.02,707.93,694.87,0.0,0.00,13.05,1175.09,1700.09,1063.78,309.99,743.26,0.0,10.53,636.32,0.6257198148333324,0.3759545835944387,0.49603784429870446
2025-03-31,4005.78,2075.24,1070.12,954.39,31.36,19.37,1930.54,1869.47,731.87,723.88,0.0,0.00,7.99,1137.6,1572.88,1066.85,299.1,756.38,0.0,11.38,506.03,0.678278063170744,0.3914852872739332,0.5180614012751573
2025-04-30,3965.51,2097.38,1066.0,987.12,25.57,18.68,1868.13,1920.18,731.76,724.82,0.0,0.00,6.94,1188.42,1491.42,1106.47,295.31,799.42,0.0,11.75,384.94,0.7418902790629065,0.3810892728806674,0.5289054875665425
2025-05-31,4149.85,2157.97,1067.61,1038.35,26.33,25.69,1991.88,1967.7,719.17,711.85,0.0,0.00,7.32,1248.53,1580.74,1162.58,306.92,837.29,0.0,18.37,418.16,0.7354656679782886,0.36548762514610966,0.5200115666831331
2025-06-30,4157.56,2179.77,1083.91,1042.2,25.05,28.62,1977.78,1966.07,723.19,715.27,0.0,0.00,7.92,1242.89,1595.5,1174.55,319.54,834.31,0.0,20.71,420.95,0.7361642118458164,0.36783532631086385,0.5242906897314771
2025-07-31,4238.91,2191.87,1092.1,1042.17,28.02,29.58,2047.04,1956.34,719.17,710.92,0.0,0.00,8.25,1237.17,1667.46,1178.05,330.48,826.23,0.0,21.33,489.42,0.7064937089945186,0.3676099246552235,0.517083401157373
2025-08-31,4234.49,2183.62,1080.36,1044.22,29.87,29.17,2050.87,1950.2,709.17,700.96,0.0,0.00,8.21,1241.03,1660.67,1175.72,329.04,825.72,0.0,20.97,484.95,0.7079793095557817,0.3636396267049533,0.5156748510446358
2025-09-30,4350.81,2251.84,1097.1,1093.11,30.87,30.76,2098.97,2008.88,718.86,709.75,0.0,0.00,9.11,1290.02,1699.79,1224.22,332.02,870.55,0.0,21.65,475.58,0.7202183799175192,0.35784118513798735,0.5175679930863448
2025-10-31,4527.23,2329.32,1127.69,1129.97,39.96,31.7,2197.91,2088.33,735.53,726.19,0.0,0.00,9.35,1352.79,1771.6,1265.27,342.95,899.96,0.0,22.36,506.33,0.714196206818695,0.3522096603506151,0.5145132895832552
2025-11-30,4535.78,2342.58,1138.92,1127.87,46.61,29.18,2193.2,2096.44,754.52,745.67,0.0,0.00,8.86,1341.92,1772.8,1253.94,336.42,897.2,0.0,20.32,518.86,0.7073217509025271,0.35990536337791684,0.516466848039367
2025-12-31,4460.29,2292.26,1159.07,1073.23,29.5,30.45,2168.04,2049.77,767.77,758.94,0.0,0.00,8.83,1282.0,1726.58,1246.91,345.71,879.58,0.0,21.62,479.67,0.7221848973114482,0.37456397547041864,0.5139262245280016
2026-01-31,4507.99,2298.28,1166.24,1074.89,26.08,31.07,2209.71,2080.03,778.92,770.59,0.0,0.00,8.32,1301.12,1719.7,1246.8,341.94,882.12,0.0,22.74,472.9,0.725010176193522,0.3744753681437286,0.5098236686416785
2026-02-28,4574.81,2276.63,1156.03,1054.73,35.95,29.91,2298.19,2077.7,769.81,761.44,0.0,0.00,8.37,1307.89,1738.76,1221.87,340.42,859.92,0.0,21.53,516.9,0.7027249304101774,0.3705106608268759,0.49764471092788554
2026-03-31,4372.27,2215.6,1142.96,1001.86,43.05,27.74,2156.67,1969.64,765.64,756.9,0.0,0.00,8.74,1204.0,1705.15,1159.99,331.26,809.73,0.0,19.0,545.16,0.6802861918306307,0.38872078146260225,0.5067390623177433
2026-04-30,4600.17,2282.79,1153.47,1057.52,41.74,30.06,2317.38,2037.12,766.07,757.7,0.0,0.00,8.37,1271.04,1813.46,1231.77,350.37,859.72,0.0,21.68,581.69,0.6792374797348715,0.3760554115614201,0.4962403563346572
2026-05-31,4774.64,2348.23,1177.21,1089.21,50.85,30.95,2426.41,2115.21,793.57,779.58,0.0,..,..,1321.63,1887.53,1252.97,351.86,879.77,0.0,21.34,634.56,0.6638146148670485,0.375173150656436,0.491812995325302
2026-06-30,4804.59,2369.27,1210.62,1066.31,62.66,29.68,2435.32,2096.76,823.66,807.92,0.0,..,..,1273.1,1923.12,1234.94,355.9,859.92,0.0,19.12,688.18,0.6421544157410874,0.3928251206623552,0.4931263645805365
2026-07-31,4789.8,2368.25,1210.62,1065.51,60.1,32.03,2421.55,2084.43,826.98,809.26,0.0,..,..,1257.45,1916.06,1231.3,354.02,857.03,0.0,20.25,684.76,0.6426207947559054,0.3967415552453189,0.49443609336506744
