month,TPU
2010-01-31,24.49080819667049
2010-02-28,18.8473365737526
2010-03-31,28.5566728438193
2010-04-30,25.48772813089994
2010-05-31,21.41069328427972
2010-06-30,27.38276752652706
2010-07-31,28.69440459110473
2010-08-31,29.78941961992809
2010-09-30,31.49555165919865
2010-10-31,31.01298860810022
2010-11-30,30.49285737960293
2010-12-31,32.20994100495016
2011-01-31,30.23888720895071
2011-02-28,24.95229707911346
2011-03-31,29.94775073276411
2011-04-30,31.69410080768838
2011-05-31,20.82213863514239
2011-06-30,29.77398836107728
2011-07-31,30.57254030016676
2011-08-31,30.83100308310031
2011-09-30,21.23505839641059
2011-10-31,36.76591274661064
2011-11-30,36.3832367605444
2011-12-31,30.96628897177845
2012-01-31,29.71968929415738
2012-02-29,23.25581395348837
2012-03-31,27.7136258660508
2012-04-30,21.94586686174104
2012-05-31,28.60195044625934
2012-06-30,20.71747900992258
2012-07-31,29.37078736303047
2012-08-31,20.96940529391543
2012-09-30,22.71006813020439
2012-10-31,27.77777777777778
2012-11-30,27.58863583000704
2012-12-31,25.8848686061561
2013-01-31,22.87262391188488
2013-02-28,28.59686002689241
2013-03-31,31.86307979425554
2013-04-30,11.2991236289478
2013-05-31,33.6477185827173
2013-06-30,26.86384551958933
2013-07-31,24.47206335239771
2013-08-31,20.34908715714655
2013-09-30,25.62994071146245
2013-10-31,33.37041156840935
2013-11-30,26.02608591599856
2013-12-31,21.48227712137486
2014-01-31,23.00868880748388
2014-02-28,26.79938744257274
2014-03-31,27.13312550513797
2014-04-30,24.47366869139588
2014-05-31,16.78380362949753
2014-06-30,27.61402420105491
2014-07-31,20.20860495436767
2014-08-31,22.24514797859307
2014-09-30,19.87130961392884
2014-10-31,21.01514841948571
2014-11-30,25.03009948672454
2014-12-31,28.69930643342786
2015-01-31,26.61276739093818
2015-02-28,25.19270539575108
2015-03-31,20.87313380032548
2015-04-30,21.36752136752137
2015-05-31,43.43984685613312
2015-06-30,44.50311144635112
2015-07-31,26.47870515402402
2015-08-31,35.42234332425068
2015-09-30,29.24724893064746
2015-10-31,53.25218714340053
2015-11-30,30.72078645213318
2015-12-31,31.82149292642718
2016-01-31,36.03343903142116
2016-02-29,32.20794967981509
2016-03-31,54.3267365153279
2016-04-30,46.85040811097691
2016-05-31,57.42132900154887
2016-06-30,74.69130472325361
2016-07-31,46.10794684024953
2016-08-31,43.67019509184981
2016-09-30,44.24597484534393
2016-10-31,50.46019699660908
2016-11-30,111.2968712682111
2016-12-31,105.8383380919563
2017-01-31,166.4209975750083
2017-02-28,122.7026173047554
