month,TPU
2017-03-31,90.58218398652646
2017-04-30,97.09221270663214
2017-05-31,54.45591438583198
2017-06-30,60.11549749124302
2017-07-31,65.97735105859182
2017-08-31,54.82564457176726
2017-09-30,51.30418105101649
2017-10-31,47.73744405768275
2017-11-30,44.02949445652751
2017-12-31,46.75210384467301
2018-01-31,73.21468799279117
2018-02-28,57.02965542081883
2018-03-31,260.5556427562392
2018-04-30,174.2081447963801
2018-05-31,152.2499154167137
2018-06-30,228.6231679022127
2018-07-31,246.381805651275
2018-08-31,225.8288090562551
2018-09-30,150.1088575684657
2018-10-31,155.2070331578662
2018-11-30,144.8310304644581
2018-12-31,164.6457441749881
2019-01-31,141.7107734334984
2019-02-28,127.4717074990673
2019-03-31,94.09791773419668
2019-04-30,91.15902184922588
2019-05-31,189.7933361450865
2019-06-30,266.0045235519717
2019-07-31,145.1146457343524
2019-08-31,254.2201556656221
2019-09-30,136.9317333067769
2019-10-31,139.2663043478261
2019-11-30,119.8353566404418
2019-12-31,146.3152232383001
2020-01-31,139.6403359612511
2020-02-29,95.7377758546084
2020-03-31,61.23410268487989
2020-04-30,55.47850208044382
2020-05-31,66.5
2020-06-30,59.9
2020-07-31,57.4
2020-08-31,67.2
2020-09-30,67.8
2020-10-31,70.24901703800785
2020-11-30,69.8753423891777
2020-12-31,98.01160367261872
2021-01-31,75.4428165318171
2021-02-28,36.8550368550368
2021-03-31,46.8245425188374
2021-04-30,47.9506793012901
2021-05-31,49.2583573168031
2021-06-30,49.3487117690939
2021-07-31,57.2197913160552
2021-08-31,39.4601395402035
2021-09-30,51.5433023673958
2021-10-31,56.0620995564317
2021-11-30,48.4903342600375
2021-12-31,37.1166243406915
2022-01-31,46.6062754365235
2022-02-28,54.3041029766693
2022-03-31,53.6275658016396
2022-04-30,41.1926245586504
2022-05-31,63.2872122603462
2022-06-30,74.5108202669431
2022-07-31,67.0362253448498
2022-08-31,65.8574380165289
2022-09-30,48.5060147458284
2022-10-31,46.5525918470055
2022-11-30,49.3046776232616
2022-12-31,48.7704354993817
2023-01-31,52.7380436353128
2023-02-28,43.6817472698908
2023-03-31,65.4413812308549
2023-04-30,33.8933097553787
2023-05-31,59.6559378468368
2023-06-30,52.330449344125
2023-07-31,63.2955414898796
2023-08-31,59.9659284497444
2023-09-30,63.6042402826855
2023-10-31,44.4594139440889
2023-11-30,40.9482758620689
2023-12-31,65.3073071620346
2024-01-31,69.6039035591274
2024-02-29,62.5763125763125
2024-03-31,82.1898725360451
2024-04-30,90.9742120343839
2024-05-31,94.4772490448072
2024-06-30,89.0557150217119
2024-07-31,101.36624063464
2024-08-31,98.1404958677685
2024-09-30,128.640601286406
2024-10-31,147.926889979375
2024-11-30,373.312152501985
2024-12-31,247.675599656223
2025-01-31,360.891445003594
2025-02-28,469.771571555412
2025-03-31,603.077776237349
2025-04-30,1151.35558243791
2025-05-31,723.132241310427
2025-06-30,472.512178148921
2025-07-31,554.85
2025-08-31,575.84
2025-09-30,465.310904678215
2025-10-31,426.213747796827
2025-11-30,342.788766101217
2025-12-31,308.280990542199
2026-01-31,410.757946210268
2026-02-28,383.968181122839
2026-03-31,269.0760404
2026-04-30,197.286446075038
2026-05-31,200.028074115665
2026-06-30,187.328222190076
2026-07-31,194.9068146251245
2026-08-31,209.964412811387
