month,inflation
2010-01-31,
2010-01-31,0.04440779112506732
2010-01-31,0.023555312058221034
2010-01-31,0.017662843537280537
2010-01-31,0.06337939114429147
2010-01-31,0.10494034742976055
2010-01-31,0.07637434645246799
2010-01-31,0.06593327430461926
2010-01-31,0.09115112765041289
2010-01-31,0.053659076773193704
2010-01-31,0.14370051506675807
2010-01-31,0.08729066544210795
2011-01-31,0.20667383902681635
2011-01-31,0.1838499585154807
2011-01-31,0.10791037770250256
2011-01-31,0.12209822596025433
2011-01-31,0.20004382628293627
2011-01-31,0.23258311291982636
2011-01-31,0.23159940561194858
2011-01-31,0.2855371275836127
2011-01-31,0.11327936075726797
2011-01-31,0.17144477316204387
2011-01-31,0.17335499097717033
2011-01-31,0.2227584213374989
2012-01-31,0.20734409403413423
2012-01-31,0.06887309418113219
2012-01-31,0.19451849677487587
2012-01-31,0.18671447082718728
2012-01-31,0.139262108076732
2012-01-31,0.17391422437915693
2012-01-31,0.15100319888929903
2012-01-31,0.11429739859663002
2012-01-31,0.18485897837825505
2012-01-31,0.15811718258840202
2012-01-31,0.13236612841156514
2012-01-31,0.17060612489174787
2013-01-31,0.21726300376911922
2013-01-31,0.14630013926213437
2013-01-31,0.09669871370627803
2013-01-31,0.016322112633027075
2013-01-31,0.07041225807631335
2013-01-31,0.1518186359459328
2013-01-31,0.2268690911645166
2013-01-31,0.1947819571189946
2013-01-31,0.15521199783181672
2013-01-31,0.09411845565425736
2013-01-31,0.18627206202479485
2013-01-31,0.16980887850461812
2014-01-31,0.08564403135213894
2014-01-31,0.09488591105561994
2014-01-31,0.18612132865944986
2014-01-31,0.18872829368925537
2014-01-31,0.1925828817233466
2014-01-31,0.12958438049830434
2014-01-31,0.1504100848230827
2014-01-31,0.08812421887967048
2014-01-31,0.15968452085637352
2014-01-31,0.16946426163757522
2014-01-31,0.1115640177639321
2014-01-31,0.052604992007232454
2015-01-31,0.09470270527049962
2015-01-31,0.1504220224752828
2015-01-31,0.2424485568825574
2015-01-31,0.24517696335424333
2015-01-31,0.14160496244493004
2015-01-31,0.15545158499294942
2015-01-31,0.20675616955383447
2015-01-31,0.1038357510751986
2015-01-31,0.20529368516637447
2015-01-31,0.1855943244876812
2015-01-31,0.1938489446373204
2015-01-31,0.12520767284645018
2016-01-31,0.1667000725154466
2016-01-31,0.22631593972555208
2016-01-31,0.16401352412911407
2016-01-31,0.2591053790480302
2016-01-31,0.23739700993816726
2016-01-31,0.1629346378165586
2016-01-31,0.11668070984987011
2016-01-31,0.23939461551121255
2016-01-31,0.16852185420725974
2016-01-31,0.12048581331614017
2016-01-31,0.13597449465088118
2016-01-31,0.17581066640914855
