month,DTWEXBGS
2010-01-31,92.44030000000001
2010-02-28,93.88668000000001
2010-03-31,93.14987826086957
2010-04-30,92.63908636363637
2010-05-31,95.53063999999999
2010-06-30,96.06062727272727
2010-07-31,94.45469047619048
2010-08-31,93.68223181818183
2010-09-30,92.76259523809524
2010-10-31,90.22912
2010-11-30,90.509535
2010-12-31,91.18347142857144
2011-01-31,90.11122
2011-02-28,89.3966894736842
2011-03-31,88.48722608695653
2011-04-30,86.92136666666667
2011-05-31,86.94640476190476
2011-06-30,86.94125454545454
2011-07-31,86.31780499999999
2011-08-31,86.89824347826087
2011-09-30,89.72526666666667
2011-10-31,90.60984499999999
2011-11-30,91.26488
2011-12-31,92.20559047619047
2012-01-31,91.646265
2012-02-29,89.9605
2012-03-31,90.51121363636364
2012-04-30,90.81560952380953
2012-05-31,92.49278636363637
2012-06-30,93.88086666666666
2012-07-31,93.40616666666668
2012-08-31,92.5282652173913
2012-09-30,90.98020000000001
2012-10-31,90.75663
2012-11-30,91.47508
2012-12-31,90.88039
2013-01-31,90.82551428571429
2013-02-28,91.55087368421053
2013-03-31,92.41318
2013-04-30,92.04782272727272
2013-05-31,92.52896818181819
2013-06-30,93.283615
2013-07-31,93.87238636363637
2013-08-31,93.71488636363637
2013-09-30,93.470565
2013-10-31,92.49926818181818
2013-11-30,93.37366842105263
2013-12-31,93.53402
2014-01-31,94.46474761904763
2014-02-28,94.64558235294118
2014-03-31,94.44082105263158
2014-04-30,93.99555
2014-05-31,93.67002857142857
2014-06-30,93.82740476190477
2014-07-31,93.6038590909091
2014-08-31,94.58080952380952
2014-09-30,96.12086666666667
2014-10-31,97.43960454545454
2014-11-30,99.11468888888889
2014-12-31,101.44413333333333
2015-01-31,103.76074000000001
2015-02-28,105.16853888888889
2015-03-31,107.36473809523811
2015-04-30,106.35228181818182
2015-05-31,105.40651499999998
2015-06-30,106.17898636363635
2015-07-31,108.12356818181819
2015-08-31,109.97674761904761
2015-09-30,110.85125714285715
2015-10-31,109.90357142857142
2015-11-30,111.6916105263158
2015-12-31,112.7857409090909
2016-01-31,115.2343875
2016-02-29,114.281735
2016-03-31,111.89339130434782
2016-04-30,110.01707619047619
2016-05-31,111.14051428571429
2016-06-30,111.55962727272727
2016-07-31,112.47729
2016-08-31,111.43836956521739
2016-09-30,112.31686190476191
2016-10-31,113.474695
2016-11-30,116.107515
2016-12-31,117.90482857142858
