month,GPR,GPRT,GPRA,GPRC_USA
2010-01-31,91.58102416992188,84.97299194335938,100.41094207763672,2.0555288791656494
2010-02-28,80.72535705566406,78.84627532958984,80.71173858642578,1.8095757961273193
2010-03-31,74.116943359375,73.49691009521484,70.03934478759766,1.6630464792251587
2010-04-30,88.76158142089844,92.05691528320312,81.26840209960938,1.9718109369277954
2010-05-31,88.95870971679688,87.49411010742188,85.85739135742188,2.033574342727661
2010-06-30,96.45369720458984,110.69171905517578,70.9886245727539,2.119023084640503
2010-07-31,79.38137817382812,75.18537902832031,84.04823303222656,1.6248153448104858
2010-08-31,80.99386596679688,71.95153045654297,85.98257446289062,1.7309353351593018
2010-09-30,71.16854858398438,68.94754028320312,69.29395294189453,1.5473343133926392
2010-10-31,65.99193572998047,62.0961799621582,76.16891479492188,1.4335503578186035
2010-11-30,94.70516967773438,98.68914794921875,83.2665023803711,2.0334718227386475
2010-12-31,97.20389556884766,100.3976821899414,91.7621078491211,2.1148834228515625
2011-01-31,79.42161560058594,76.59356689453125,78.8069839477539,1.5277677774429321
2011-02-28,90.01448822021484,90.18933868408203,85.48683166503906,1.802498698234558
2011-03-31,136.8883056640625,126.96572875976562,157.47984313964844,2.9379470348358154
2011-04-30,91.01776885986328,72.92317962646484,111.94474029541016,1.9177788496017456
2011-05-31,105.34491729736328,95.50663757324219,123.82610321044922,2.2956907749176025
2011-06-30,84.391845703125,71.39112854003906,98.27275848388672,1.7967090606689453
2011-07-31,78.92475891113281,59.019046783447266,102.11175537109375,1.5707964897155762
2011-08-31,86.95156860351562,63.504676818847656,112.49906158447266,1.704949975013733
2011-09-30,83.35044860839844,70.606689453125,95.26744079589844,1.6370738744735718
2011-10-31,76.33993530273438,64.18510437011719,92.34331512451172,1.5346795320510864
2011-11-30,83.15767669677734,95.57453155517578,70.11003875732422,1.7399039268493652
2011-12-31,85.34132385253906,88.89408111572266,77.47647857666016,1.8332573175430298
2012-01-31,79.63497161865234,93.6095962524414,62.06843185424805,1.7756315469741821
2012-02-29,92.4458236694336,104.2074966430664,78.59986114501953,1.9082080125808716
2012-03-31,88.75997924804688,87.85648345947266,85.85698699951172,1.910476565361023
2012-04-30,96.01668548583984,101.92078399658203,86.38436889648438,1.9654715061187744
2012-05-31,78.17115783691406,80.6348876953125,69.74354553222656,1.6257225275039673
2012-06-30,77.82243347167969,70.23216247558594,82.17473602294922,1.488796591758728
2012-07-31,82.80802154541016,79.33626556396484,91.00080108642578,1.6981786489486694
2012-08-31,74.87835693359375,70.9891586303711,78.11161804199219,1.7376681566238403
2012-09-30,69.28050994873047,68.40282440185547,65.87126159667969,1.5685700178146362
2012-10-31,81.66366577148438,74.20600891113281,88.03089904785156,1.5631542205810547
2012-11-30,81.38964080810547,75.65846252441406,89.04841613769531,1.5683213472366333
2012-12-31,74.83155822753906,66.24052429199219,82.9786148071289,1.5649269819259644
2013-01-31,90.6574935913086,84.139892578125,108.9493179321289,1.757733702659607
2013-02-28,81.59033203125,77.60531616210938,85.65817260742188,1.8393527269363403
2013-03-31,75.89672088623047,81.89175415039062,69.39681243896484,1.6417275667190552
2013-04-30,95.10787200927734,99.5219497680664,87.4727554321289,2.2199759483337402
2013-05-31,83.71731567382812,75.3292236328125,98.22759246826172,1.7678042650222778
2013-06-30,82.97300720214844,78.82188415527344,86.63420104980469,1.8646067380905151
2013-07-31,73.97581481933594,71.55718994140625,72.67587280273438,1.4333962202072144
2013-08-31,90.95674896240234,80.73957824707031,106.97908782958984,2.058542251586914
2013-09-30,100.4593276977539,100.38423156738281,100.16348266601562,2.3628108501434326
2013-10-31,72.95311737060547,65.50166320800781,78.73002624511719,1.5660603046417236
2013-11-30,77.77902221679688,92.4988784790039,52.43838119506836,1.7572429180145264
2013-12-31,70.37248992919922,70.09461212158203,66.79072570800781,1.631973385810852
2014-01-31,77.91596984863281,70.48076629638672,83.1458969116211,1.6967792510986328
2014-02-28,69.00352478027344,73.27865600585938,59.08655548095703,1.4558274745941162
2014-03-31,119.83855438232422,151.67477416992188,74.0618896484375,2.701395273208618
