month,vwretd,sprtrn
2025-01-31,0.032292,0.027016
2025-02-28,-0.017566,-0.014242
2025-03-31,-0.055123,-0.057545
2025-04-30,-0.00361,-0.007625
2025-05-31,0.061267,0.061524
2025-06-30,0.049246,0.049607
2025-07-31,0.019791,0.021667
2025-08-31,0.024123,0.019066
2025-09-30,0.035626,0.035324
2025-10-31,0.019284,0.022687
2025-11-30,0.001997,0.0013
2025-12-31,0.001297,-0.000524
