month,VIXCLS
2010-01-31,20.643157894736845
2010-02-28,22.54
2010-03-31,17.767391304347825
2010-04-30,17.424285714285716
2010-05-31,31.9295
2010-06-30,29.916363636363634
2010-07-31,25.565238095238094
2010-08-31,24.74590909090909
2010-09-30,22.517619047619046
2010-10-31,20.37333333333333
2010-11-30,20.095714285714287
2010-12-31,17.56954545454545
2011-01-31,17.3155
2011-02-28,17.43
2011-03-31,20.723478260869566
2011-04-30,16.244
2011-05-31,16.91142857142857
2011-06-30,19.153181818181817
2011-07-31,19.2275
2011-08-31,35.02913043478261
2011-09-30,36.53
2011-10-31,32.829047619047614
2011-11-30,31.94190476190476
2011-12-31,25.047619047619047
2012-01-31,20.228
2012-02-29,18.4205
2012-03-31,16.167272727272728
2012-04-30,17.823
2012-05-31,21.001818181818184
2012-06-30,21.13095238095238
2012-07-31,17.565238095238094
2012-08-31,15.689565217391305
2012-09-30,15.284736842105264
2012-10-31,16.276190476190475
2012-11-30,16.701904761904764
2012-12-31,17.307
2013-01-31,13.505238095238095
2013-02-28,14.072631578947368
2013-03-31,13.0315
2013-04-30,13.967272727272727
2013-05-31,13.493636363636364
2013-06-30,17.2715
2013-07-31,13.974545454545455
2013-08-31,14.21
2013-09-30,14.692000000000002
2013-10-31,15.407826086956522
2013-11-30,12.924000000000001
2013-12-31,14.192380952380953
2014-01-31,14.24095238095238
2014-02-28,15.47
2014-03-31,14.836666666666666
2014-04-30,14.19809523809524
2014-05-31,12.475238095238096
2014-06-30,11.541428571428572
2014-07-31,12.296363636363635
2014-08-31,13.491904761904761
2014-09-30,13.466666666666667
2014-10-31,18.058695652173913
2014-11-30,13.413157894736841
2014-12-31,16.292272727272728
2015-01-31,19.1195
2015-02-28,15.90421052631579
2015-03-31,14.812727272727273
2015-04-30,13.494761904761905
2015-05-31,13.3385
2015-06-30,14.339545454545457
2015-07-31,14.352727272727272
2015-08-31,19.42809523809524
2015-09-30,24.377142857142857
2015-10-31,16.789545454545454
2015-11-30,16.21
2015-12-31,18.025454545454547
2016-01-31,23.717894736842105
2016-02-29,22.517
2016-03-31,15.84909090909091
2016-04-30,14.300476190476191
2016-05-31,14.852857142857141
2016-06-30,17.774545454545457
2016-07-31,13.1585
2016-08-31,12.399565217391304
2016-09-30,14.21952380952381
2016-10-31,14.585238095238097
2016-11-30,15.236190476190476
2016-12-31,12.472380952380954
2017-01-31,11.6085
2017-02-28,11.530526315789475
2017-03-31,11.89782608695652
2017-04-30,13.136315789473684
2017-05-31,10.862272727272726
2017-06-30,10.513636363636364
2017-07-31,10.2645
2017-08-31,11.975652173913044
2017-09-30,10.437999999999999
2017-10-31,10.125454545454545
2017-11-30,10.54047619047619
2017-12-31,10.2645
2018-01-31,11.062380952380952
2018-02-28,22.464736842105264
2018-03-31,19.023809523809526
2018-04-30,18.267619047619046
2018-05-31,14.124545454545455
2018-06-30,13.678095238095239
2018-07-31,13.147619047619049
2018-08-31,12.54695652173913
2018-09-30,12.910526315789474
2018-10-31,19.35217391304348
2018-11-30,19.38904761904762
2018-12-31,24.953157894736844
2019-01-31,19.57238095238095
2019-02-28,15.234736842105262
2019-03-31,14.485238095238095
2019-04-30,12.949047619047619
2019-05-31,16.721818181818183
2019-06-30,15.836000000000002
2019-07-31,13.305909090909092
2019-08-31,18.97909090909091
2019-09-30,15.559000000000001
2019-10-31,15.466521739130435
2019-11-30,12.5235
2019-12-31,13.756666666666666
2020-01-31,13.94095238095238
2020-02-29,19.628947368421052
2020-03-31,57.73681818181819
2020-04-30,41.453809523809525
2020-05-31,30.897000000000002
2020-06-30,31.119545454545456
2020-07-31,26.840454545454545
2020-08-31,22.88952380952381
2020-09-30,27.64761904761905
2020-10-31,29.438636363636363
2020-11-30,24.9955
2020-12-31,22.37409090909091
2021-01-31,24.91
2021-02-28,23.140526315789476
2021-03-31,21.84304347826087
2021-04-30,17.416190476190476
2021-05-31,19.7605
2021-06-30,16.956818181818182
2021-07-31,17.603333333333335
2021-08-31,17.472727272727273
2021-09-30,19.824761904761903
2021-10-31,17.871428571428574
2021-11-30,18.50047619047619
2021-12-31,21.354545454545455
2022-01-31,23.181
2022-02-28,25.748421052631578
2022-03-31,26.968695652173913
2022-04-30,24.3735
2022-05-31,29.313636363636363
2022-06-30,28.23318181818182
2022-07-31,24.995238095238093
2022-08-31,22.169565217391302
2022-09-30,27.34181818181818
2022-10-31,30.005714285714287
2022-11-30,23.29909090909091
2022-12-31,21.784285714285716
2023-01-31,20.16904761904762
2023-02-28,20.1205
2023-03-31,21.644347826086957
2023-04-30,17.817894736842106
2023-05-31,17.63608695652174
2023-06-30,14.003181818181817
2023-07-31,13.932380952380951
2023-08-31,15.85391304347826
2023-09-30,15.173333333333332
2023-10-31,18.887727272727272
2023-11-30,14.01909090909091
2023-12-31,12.7185
2024-01-31,13.388636363636364
2024-02-29,13.980476190476189
2024-03-31,13.7875
2024-04-30,16.137727272727275
2024-05-31,13.058695652173913
2024-06-30,12.667
2024-07-31,14.373913043478263
2024-08-31,19.312272727272727
2024-09-30,17.663333333333334
2024-10-31,19.960869565217394
2024-11-30,16.015238095238097
2024-12-31,15.866190476190477
2025-01-31,16.763636363636365
2025-02-28,16.968
2025-03-31,21.841428571428573
2025-04-30,31.966190476190473
2025-05-31,20.46227272727273
2025-06-30,18.403333333333336
2025-07-31,16.381304347826084
2025-08-31,15.75
2025-09-30,15.789090909090909
2025-10-31,18.086521739130436
2025-11-30,19.7695
2025-12-31,15.548181818181819
2026-01-31,16.17904761904762
2026-02-28,19.207
