month,us_rf
2010-01-31,0.076048796464178
2010-02-28,0.11661398628615
2010-03-31,0.15211249009029
2010-04-30,0.15718323399662
2010-05-31,0.15718323399662
2010-06-30,0.17239856262214
2010-07-31,0.14196929051977
2010-08-31,0.11661342738045
2010-09-30,0.15718357248742
2010-10-31,0.11661398628615
2010-11-30,0.16732733083799
2010-12-31,0.12168492031746
2011-01-31,0.14196846213048
2011-02-28,0.13689733259187
2011-03-31,0.093795688277553
2011-04-30,0.040557583468585
2011-05-31,0.050697718742642
2011-06-30,0.015208621665276
2011-07-31,0.093795567752707
2011-08-31,0.01013901844355
2011-09-30,0.02027828473916
2011-10-31,0.0025347298792362
2011-11-30,0.0
2011-12-31,0.010139015627076
2012-01-31,0.055767850823821
2012-02-29,0.076048954924438
2012-03-31,0.070978433016258
2012-04-30,0.091259924876627
2012-05-31,0.06590819246712
2012-06-30,0.083654460496107
2012-07-31,0.098866618204116
2012-08-31,0.086189713536961
2012-09-30,0.091260267165117
2012-10-31,0.11154345656493
2012-11-30,0.076048796464178
2012-12-31,0.045627481039262
2013-01-31,0.073513680851682
2013-02-28,0.10647246374166
2013-03-31,0.076048875694109
2013-04-30,0.053232776595962
2013-05-31,0.035487663718962
2013-06-30,0.035487663718962
2013-07-31,0.035487698223465
2013-08-31,0.022813148755017
2013-09-30,0.015208608991027
2013-10-31,0.035487680971203
2013-11-30,0.060837896289624
2013-12-31,0.068443467588267
2014-01-31,0.015208618496634
2014-02-28,0.050697613111309
2014-03-31,0.030417769324106
2014-04-30,0.030417832698473
2014-05-31,0.03041780734872
2014-06-30,0.022813120237331
2014-07-31,0.022813148755017
2014-08-31,0.025348023157786
2014-09-30,0.010139011402471
2014-10-31,0.010139015627076
2014-11-30,0.010139015627076
2014-12-31,0.04055762853632
2015-01-31,0.005069476128703
2015-02-28,0.010139015627076
2015-03-31,0.027882934881215
2015-04-30,0.0050694764807615
2015-05-31,0.005069476128703
2015-06-30,0.022813163013967
2015-07-31,0.06337300670065
2015-08-31,0.0025347299672537
2015-09-30,-0.020277259585536
2015-10-31,0.076048796464178
2015-11-30,0.16478930362911
2015-12-31,0.17746981132161
2016-01-31,0.31442741192148
2016-02-29,0.31949662383736
2016-03-31,0.20029305647996
2016-04-30,0.21297257686118
2016-05-31,0.33472603058457
2016-06-30,0.26369777462478
2016-07-31,0.25355146531132
2016-08-31,0.33218764181069
2016-09-30,0.27891533257969
2016-10-31,0.30427698040484
2016-11-30,0.48442757269463
2016-12-31,0.49711009769315
2017-01-31,0.5174242614606
2017-02-28,0.6138826265311
2017-03-31,0.75351206995341
2017-04-30,0.79414508222262
2017-05-31,0.9719882973722
2017-06-30,1.0151583662369
2017-07-31,1.0761011176188
2017-08-31,0.99230283629478
2017-09-30,1.0507349753703
2017-10-31,1.1448278075316
2017-11-30,1.2591966958252
2017-12-31,1.3812383269045
2018-01-31,1.4576048726001
2018-02-28,1.5431970821424
2018-03-31,1.7018693177181
2018-04-30,1.8191156025585
2018-05-31,1.8953739824642
2018-06-30,1.910604557215
2018-07-31,2.0228429044959
2018-08-31,2.0940078214014
2018-09-30,2.1959343733857
2018-10-31,2.3209771834283
2018-11-30,2.3488722489008
2018-12-31,2.3537430400248
2019-01-31,2.3820942735638
2019-02-28,2.4279936691251
2019-03-31,2.3794667460969
2019-04-30,2.4154034647704
2019-05-31,2.3386745960367
2019-06-30,2.0812688033937
2019-07-31,2.0227867568148
2019-08-31,1.9717831082756
2019-09-30,1.8086150467018
2019-10-31,1.5389903971298
2019-11-30,1.5720359271057
2019-12-31,1.5416000637567
2020-01-31,1.5465910601984
2020-02-29,1.2744308660682
2020-03-31,0.10393737259349
2020-04-30,0.10140170547781
2020-05-31,0.14450490813203
2020-06-30,0.19268516379477
2020-07-31,0.091260267165117
2020-08-31,0.10140128288395
2020-09-30,0.086189713536961
2020-10-31,0.088724982426553
2020-11-30,0.078584171161666
2020-12-31,0.078584086560686
2021-01-31,0.053232660136434
2021-02-28,0.038022615671312
2021-03-31,0.065908132958578
2021-04-30,0.010139015627076
2021-05-31,0.0076042379565637
2021-06-30,0.035487663718962
2021-07-31,0.048162581932187
2021-08-31,0.05576776561301
2021-09-30,0.038022635476323
2021-10-31,0.055767723007705
2021-11-30,0.06590819246712
2021-12-31,0.045627566598743
2022-01-31,0.20282961642971
2022-02-28,0.33979825106973
2022-03-31,0.50472715350512
2022-04-30,0.83224222893086
2022-05-31,1.0710815965829
2022-06-30,1.7018693177181
2022-07-31,2.3514217021827
2022-08-31,2.769749031111
2022-09-30,3.2983765322433
2022-10-31,4.0380146575404
2022-11-30,4.2244956121852
2022-12-31,4.3525790015011
2023-01-31,4.6553142817458
2023-02-28,4.7630298736032
2023-03-31,4.7370720578091
2023-04-30,5.0397963088518
2023-05-31,5.2605682918059
2023-06-30,5.2528649201559
2023-07-31,5.356378018115
2023-08-31,5.415069918861
2023-09-30,5.4172352594707
2023-10-31,5.4561788173545
2023-11-30,5.3431394831415
2023-12-31,5.2965192943417
2024-01-31,5.3067915947325
2024-02-29,5.3354334157743
2024-03-31,5.3251588895824
2024-04-30,5.3791030885599
2024-05-31,5.355588575078
2024-06-30,5.3247687465143
2024-07-31,5.2400262925584
2024-08-31,5.0735151772961
2024-09-30,4.5433993547676
2024-10-31,4.4711093164381
2024-11-30,4.3094958417256
2024-12-31,4.1428554868368
2025-01-31,4.1231889925389
2025-02-28,4.1349467271332
2025-03-31,4.2168274280869
2025-04-30,4.2101116076013
2025-05-31,4.1722764544378
2025-06-30,4.2405207490669
2025-07-31,4.2687684454524
2025-08-31,3.9382412465478
2025-09-30,3.8676831606952
2025-10-31,3.6669811353085
2025-11-30,3.6574868978146
2025-12-31,3.48670593098
