month,bond_ret
2010-01-31,0.021467194738961
2010-02-28,0.0035995814558249
2010-03-31,-0.0089978721175169
2010-04-30,0.013882914390532
2010-05-31,0.022459697892717
2010-06-30,0.026147357134528
2010-07-31,0.010114532837388
2010-08-31,0.026135577738064
2010-09-30,0.0027840066641822
2010-10-31,0.0037771190541471
2010-11-30,-0.0098982141655829
2010-12-31,-0.028731062609043
2011-01-31,0.0034698219759662
2011-02-28,-0.0040327176239346
2011-03-31,-0.0019341895198407
2011-04-30,0.017698593850664
2011-05-31,0.021184942083396
2011-06-30,-0.0023071879212543
2011-07-31,0.027282642618707
2011-08-31,0.033842871103282
2011-09-30,0.010749765123165
2011-10-31,-0.0045809608570496
2011-11-30,0.0046219802542918
2011-12-31,0.012192556097718
2012-01-31,0.0094499500901678
2012-02-29,-0.0071999493966117
2012-03-31,-0.011563081969806
2012-04-30,0.019334933938657
2012-05-31,0.019216521304086
2012-06-30,-0.0040875248556661
2012-07-31,0.0108926353889
2012-08-31,-0.00014167250403635
2012-09-30,-0.0012573858904652
2012-10-31,-0.0037042485468041
2012-11-30,0.0080044465509551
2012-12-31,-0.0059334025392939
2013-01-31,-0.0099679837681671
2013-02-28,0.0099521893454786
2013-03-31,0.0030353027964894
2013-04-30,0.0097557926080558
2013-05-31,-0.022689375185028
2013-06-30,-0.022076420884201
2013-07-31,0.00016977615269742
2013-08-31,-0.012620245076671
2013-09-30,0.017624560828969
2013-10-31,0.0060264948638821
2013-11-30,-0.0042306818137118
2013-12-31,-0.017643905463674
2014-01-31,0.022225871464888
2014-02-28,0.0029270989264795
2014-03-31,-0.0073999280308663
2014-04-30,0.0067672643133357
2014-05-31,0.013078814841984
2014-06-30,-0.0018261678972212
2014-07-31,-0.0031750280369212
2014-08-31,0.013104443470597
2014-09-30,-0.0067261913810165
2014-10-31,0.011553733120652
2014-11-30,0.011870063789653
2014-12-31,-0.0032224638760361
2015-01-31,0.033327271278264
2015-02-28,-0.019574286130337
2015-03-31,0.0088212308632762
2015-04-30,-0.0032639200630509
2015-05-31,-0.0025008401532536
2015-06-30,-0.010187053027387
2015-07-31,0.011516515517133
2015-08-31,-0.00017553533280105
2015-09-30,0.014965158755579
2015-10-31,-0.0066653615721357
2015-11-30,-0.0039713749872418
2015-12-31,-0.0033074293747617
2016-01-31,0.027459148691832
2016-02-29,0.010343214846946
2016-03-31,0.001592107007817
2016-04-30,-0.0026207649829426
2016-05-31,-0.0013369865735717
2016-06-30,0.026108441457692
2016-07-31,0.00093532184129287
2016-08-31,-0.0087170617040648
2016-09-30,0.0033336655812253
2016-10-31,-0.010397271577183
2016-11-30,-0.033620814492811
2016-12-31,-0.0010302048091623
2017-01-31,0.0028205543142681
2017-02-28,0.0038446964233833
2017-03-31,0.0031673008762464
2017-04-30,0.0090722324948134
2017-05-31,0.0069938682508301
2017-06-30,-0.0045596698717188
2017-07-31,0.0038083342219322
2017-08-31,0.012250545295575
2017-09-30,-0.011853454343136
2017-10-31,-0.0015564296911702
2017-11-30,-0.0027495862034346
2017-12-31,0.00047509746231134
2018-01-31,-0.016734877996733
2018-02-28,-0.006698358238492
2018-03-31,0.0092070424666048
2018-04-30,-0.011207348346178
2018-05-31,0.0086030096684278
2018-06-30,0.0012492662391774
2018-07-31,-0.0034345285112193
2018-08-31,0.0092570434038351
2018-09-30,-0.010329030516336
2018-10-31,-0.00021911483790075
2018-11-30,0.012166422754905
2018-12-31,0.021655053539847
2019-01-31,0.0065197802204822
2019-02-28,-0.0035077402368372
2019-03-31,0.020844072149982
2019-04-30,-0.0021236182481988
2019-05-31,0.025013303035595
2019-06-30,0.010358134395318
2019-07-31,-8.2304675347842e-05
2019-08-31,0.030410822613458
2019-09-30,-0.0084243792469487
2019-10-31,0.0017676351279631
2019-11-30,-0.0053449806368448
2019-12-31,-0.0041526227138163
2020-01-31,0.026832624488671
2020-02-29,0.023649084212252
2020-03-31,0.033265389462773
2020-04-30,0.0020390562745387
2020-05-31,0.002789981780226
2020-06-30,0.0018730249851931
2020-07-31,0.0067567532065541
2020-08-31,-0.0056245587668906
2020-09-30,0.0018734424723198
2020-10-31,-0.0092754432765645
2020-11-30,0.0030333040969383
2020-12-31,-0.0010030735290762
2021-01-31,-0.005142457040626
2021-02-28,-0.020199433482895
2021-03-31,-0.015797556246011
2021-04-30,0.0084137657607684
2021-05-31,0.0041172406736269
2021-06-30,0.0036458775481018
2021-07-31,0.015860019320579
2021-08-31,-0.0038603743139444
2021-09-30,-0.010610113281577
2021-10-31,-0.0085894881395845
2021-11-30,0.0062268945207667
2021-12-31,-0.0029629070457943
2022-01-31,-0.018131178200172
2022-02-28,-0.0033468818523824
2022-03-31,-0.0375433685278
2022-04-30,-0.030826905526485
2022-05-31,0.0091002495338292
2022-06-30,-0.0093408698623634
2022-07-31,0.0252921602552
2022-08-31,-0.035549856245869
2022-09-30,-0.038265930635754
2022-10-31,-0.0064097444629745
2022-11-30,0.032023204882103
2022-12-31,-0.013145208668742
2023-01-31,0.027446472688157
2023-02-28,-0.027380514264635
2023-03-31,0.035105026585937
2023-04-30,0.0074116898990313
2023-05-31,-0.012323136728604
2023-06-30,-0.013959587051584
2023-07-31,-0.0015049965237669
2023-08-31,-0.0036396224738273
2023-09-30,-0.020460951934294
2023-10-31,-0.013989165303888
2023-11-30,0.03910627900947
2023-12-31,0.030553210318858
2024-01-31,0.0039264200613528
2024-02-29,-0.01967901254863
2024-03-31,0.0064131752526986
2024-04-30,-0.024216583431792
2024-05-31,0.015081633036423
2024-06-30,0.010629037090791
2024-07-31,0.028862026099522
2024-08-31,0.01253583203363
2024-09-30,0.011598114127773
2024-10-31,-0.028498467694144
2024-11-30,0.0093499085087411
2024-12-31,-0.016905723244146
2025-01-31,0.0063707249589081
2025-02-28,0.023135563532662
2025-03-31,0.0052105142933843
2025-04-30,0.012502780653467
2025-05-31,-0.0096878572416621
2025-06-30,0.014147859666341
2025-07-31,-0.0048121173017396
2025-08-31,0.016080979224287
2025-09-30,0.0038348545178246
2025-10-31,0.0059200013054241
2025-11-30,0.0090234155589546
2025-12-31,-0.0047650977965963
