mthcaldt,vwretd,sprtrn
28/11/2014,0.021104,0.024534
31/12/2014,-0.003659,-0.004189
30/01/2015,-0.027163,-0.031041
27/02/2015,0.055915,0.054893
31/03/2015,-0.010397,-0.017396
30/04/2015,0.008766,0.008521
29/05/2015,0.010278,0.010491
30/06/2015,-0.019231,-0.021012
31/07/2015,0.012108,0.019742
31/08/2015,-0.059927,-0.062581
30/09/2015,-0.033756,-0.026443
30/10/2015,0.073937,0.082983
30/11/2015,0.002404,0.000505
31/12/2015,-0.022209,-0.017530
29/01/2016,-0.057085,-0.050735
29/02/2016,0.000620,-0.004128
31/03/2016,0.070491,0.065991
29/04/2016,0.011718,0.002699
31/05/2016,0.014340,0.015329
30/06/2016,0.002947,0.000906
29/07/2016,0.038815,0.035610
31/08/2016,0.002800,-0.001219
30/09/2016,0.003013,-0.001234
31/10/2016,-0.021544,-0.019426
30/11/2016,0.040488,0.034175
30/12/2016,0.018763,0.018201
31/01/2017,0.022153,0.017884
28/02/2017,0.032598,0.037198
31/03/2017,0.002062,-0.000389
28/04/2017,0.009655,0.009091
31/05/2017,0.009335,0.011576
30/06/2017,0.009571,0.004814
31/07/2017,0.020278,0.019349
31/08/2017,0.001600,0.000546
29/09/2017,0.023729,0.019303
31/10/2017,0.019275,0.022188
30/11/2017,0.027231,0.028083
29/12/2017,0.012122,0.009832
31/01/2018,0.050577,0.056179
28/02/2018,-0.039454,-0.038947
29/03/2018,-0.018421,-0.026885
30/04/2018,0.004679,0.002719
31/05/2018,0.026146,0.021608
29/06/2018,0.005359,0.004842
31/07/2018,0.031573,0.036022
31/08/2018,0.030226,0.030263
28/09/2018,0.000425,0.004294
31/10/2018,-0.074045,-0.069403
30/11/2018,0.018512,0.017859
31/12/2018,-0.089890,-0.091777
31/01/2019,0.088294,0.078684
28/02/2019,0.032724,0.029729
29/03/2019,0.012962,0.017924
30/04/2019,0.037893,0.039314
31/05/2019,-0.061679,-0.065778
28/06/2019,0.067279,0.068930
31/07/2019,0.011854,0.013128
30/08/2019,-0.020339,-0.018092
30/09/2019,0.016033,0.017181
31/10/2019,0.019257,0.020432
29/11/2019,0.034999,0.034047
31/12/2019,0.028489,0.028590
31/01/2020,-0.001728,-0.001628
28/02/2020,-0.077918,-0.084111
31/03/2020,-0.141733,-0.125119
30/04/2020,0.129674,0.126844
29/05/2020,0.053739,0.045282
30/06/2020,0.025299,0.018388
31/07/2020,0.055532,0.055101
31/08/2020,0.068442,0.070065
30/09/2020,-0.035056,-0.039228
30/10/2020,-0.020178,-0.027666
30/11/2020,0.123707,0.107546
31/12/2020,0.045048,0.037122
29/01/2021,-0.000631,-0.011137
26/02/2021,0.029196,0.026092
31/03/2021,0.030573,0.042439
30/04/2021,0.048190,0.052425
28/05/2021,0.007092,0.005486
30/06/2021,0.023422,0.022214
30/07/2021,0.011828,0.022748
31/08/2021,0.027147,0.028990
30/09/2021,-0.042243,-0.047569
29/10/2021,0.064651,0.069144
30/11/2021,-0.018351,-0.008334
31/12/2021,0.033341,0.043613
31/01/2022,-0.059822,-0.052585
28/02/2022,-0.021838,-0.031361
31/03/2022,0.030506,0.035773
29/04/2022,-0.089387,-0.087957
31/05/2022,-0.002113,0.000053
30/06/2022,-0.083997,-0.083920
29/07/2022,0.090351,0.091116
31/08/2022,-0.036233,-0.042440
30/09/2022,-0.091323,-0.093396
31/10/2022,0.077394,0.079863
